Date,Exposed,Isolated,Infected,Di,Ri,Unwilling,Du,Ru
3/24/2020,585,10,575,15,549,11,5,6
3/25/2020,726,12,714,35,656,23,8,15
3/26/2020,818,20,798,71,693,34,10,24
3/27/2020,990,20,970,115,817,38,9,29
3/28/2020,1108,24,1084,152,886,46,12,34
3/29/2020,1159,27,1132,188,888,56,12,44
3/30/2020,1400,32,1368,208,1106,54,15,39
3/31/2020,1561,35,1526,230,1237,59,15,44
04-01-20,2204,58,2146,357,1741,48,20,28
04-02-20,2806,72,2734,471,2200,63,26,37
04-03-20,2831,72,2759,591,2106,62,21,41
04-04-20,3397,86,3311,643,2594,74,27,47
04-05-20,3916,99,3817,739,3030,48,28,20
04-06-20,5289,136,5153,921,4097,135,52,83
04-07-20,5882,150,5732,1039,4539,154,60,94
04-08-20,6600,178,6422,1102,5111,209,68,141
04-09-20,7572,226,7346,1158,5905,283,77,206
04-10-20,8618,246,8372,1336,6643,393,98,295
04-11-20,9703,288,9415,1415,7454,546,117,429
04-12-20,10619,331,10288,1452,8215,621,123,498
4/13/2020,11992,358,11634,1605,9372,657,130,527
4/14/2020,13239,393,12846,1811,10252,783,153,630
4/15/2020,14159,405,13754,2022,10917,815,168,647
4/16/2020,15646,448,15198,2120,11982,1096,200,896
4/17/2020,16879,486,16393,2255,12816,1322,230,1092
4/18/2020,18706,521,18185,2473,14036,1676,277,1399
4/19/2020,21028,559,20469,2745,15752,1972,318,1654
4/20/2020,22404,592,21812,2774,16693,2345,351,1994
4/21/2020,24700,645,24055,3107,17978,2970,440,2530
4/22/2020,26421,681,25740,3344,19096,3300,489,2811
4/23/2020,28810,721,28089,3622,20610,3857,563,3294
4/24/2020,30808,780,30028,3721,22037,4270,597,3673
4/25/2020,33047,825,32222,4163,23435,4624,672,3952
4/26/2020,35294,881,34413,4293,24993,5127,718,4409
4/27/2020,37527,939,36588,4620,26304,5664,801,4863
4/28/2020,40079,1008,39071,4433,28459,6179,783,5396
4/29/2020,42578,1079,41499,5203,29513,6783,949,5834
4/30/2020,45085,1154,43931,5331,31276,7324,991,6333
05-01-20,48487,1223,47264,4721,34400,8143,906,7237
05-02-20,51841,1323,50518,6136,35549,8833,1195,7638
05-03-20,55671,1391,54280,6671,37960,9649,1320,8329
05-04-20,60850,1566,59284,7125,41635,10524,1409,9115
05-05-20,65235,1693,63542,7781,44090,11671,1592,10079
05-06-20,70103,1785,68318,8312,47325,12681,1719,10962
05-07-20,75016,1889,73127,8867,50303,13957,1886,12071
05-08-20,79567,1985,77582,9392,53289,14901,2010,12891
05-09-20,84210,2101,82109,8869,57081,16159,2047,14112
