Date,Exposed,Isolated,Infected,Di,Ri,Apathetic,Da,Ra
24-03-20,585,10,564,15,549,11,2,9
25-03-20,726,12,691,35,656,23,4,19
26-03-20,818,18,766,73,693,34,6,28
27-03-20,990,20,931,114,817,39,8,31
28-03-20,1108,24,1038,152,886,46,9,37
29-03-20,1159,27,1081,179,902,51,11,40
30-03-20,1400,32,1314,208,1106,54,12,42
31-03-20,1561,35,1470,233,1237,56,13,43
01-04-20,2204,58,2088,357,1731,58,14,44
02-04-20,2806,72,2671,471,2200,63,16,47
03-04-20,2831,74,2691,587,2104,66,17,49
04-04-20,3397,86,3237,643,2594,74,19,55
05-04-20,3916,99,3726,739,2987,91,26,65
06-04-20,5289,136,5018,921,4097,135,31,104
07-04-20,5882,150,5578,1039,4539,154,44,110
08-04-20,6600,178,6213,1102,5111,209,51,158
09-04-20,7572,226,7063,1158,5905,283,63,220
10-04-20,8618,246,7979,1336,6643,393,98,295
11-04-20,9703,288,8869,1415,7454,546,117,429
12-04-20,10619,331,9667,1452,8215,621,123,498
13-04-20,11992,358,10977,1605,9372,657,130,527
14-04-20,13239,393,12063,1811,10252,783,153,630
15-04-20,14159,405,12939,2022,10917,815,168,647
16-04-20,15646,448,14102,2120,11982,1096,199,897
17-04-20,16879,486,15071,2255,12816,1322,230,1092
18-04-20,18706,521,16509,2473,14036,1676,277,1399
19-04-20,21028,559,18497,2745,15752,1972,318,1654
20-04-20,22404,592,19467,2774,16693,2345,351,1994
21-04-20,24700,645,21085,3107,17978,2970,440,2530
22-04-20,26421,681,22440,3344,19096,3300,489,2811
23-04-20,28810,721,24232,3622,20610,3857,563,3294
24-04-20,30808,780,25758,3721,22037,4270,597,3673
25-04-20,33047,825,27598,4163,23435,4624,672,3952
26-04-20,35294,881,29286,4293,24993,5127,718,4409
27-04-20,37527,939,30924,4620,26304,5664,801,4863
28-04-20,40079,1008,32892,4833,28059,6179,783,5396
29-04-20,42578,1079,34716,5203,29513,6783,949,5834
30-04-20,45085,1154,36607,5331,31276,7324,991,6333
01-05-20,48487,1223,39121,5547,33574,8143,1006,7137
02-05-20,51841,1323,41685,6136,35549,8833,1195,7638
03-05-20,55671,1391,44631,6671,37960,9649,1320,8329
04-05-20,60850,1566,48760,7125,41635,10524,1409,9115
05-05-20,65235,1693,51871,7781,44090,11671,1592,10079
06-05-20,70103,1785,55637,8312,47325,12681,1719,10962
07-05-20,75016,1889,59170,8867,50303,13957,1886,12071
08-05-20,79567,1985,62681,9392,53289,14901,2010,12891
09-05-20,84210,2101,65950,9869,56081,16159,2047,14112
